brand,name,fuel_efficiency,cylinders,displacement(L),horsepower,weight(kg),acceleration,model_year,origin
chevrolet,chevelle malibu,13.1,8,5.0,130.0,1589,12.0,70,usa
buick,skylark 320,15.7,8,5.7,165.0,1675,11.5,70,usa
plymouth,satellite,13.1,8,5.2,150.0,1559,11.0,70,usa
amc,rebel sst,14.7,8,5.0,150.0,1557,12.0,70,usa
ford,torino,13.8,8,4.9,140.0,1564,10.5,70,usa
ford,galaxie 500,15.7,8,7.0,198.0,1969,10.0,70,usa
chevrolet,impala,16.8,8,7.4,220.0,1975,9.0,70,usa
plymouth,fury iii,16.8,8,7.2,215.0,1956,8.5,70,usa
pontiac,catalina,16.8,8,7.5,225.0,2007,10.0,70,usa
amc,ambassador dpl,15.7,8,6.4,190.0,1746,8.5,70,usa
dodge,challenger se,15.7,8,6.3,170.0,1616,10.0,70,usa
plymouth,'cuda 340,16.8,8,5.6,160.0,1637,8.0,70,usa
chevrolet,monte carlo,15.7,8,6.6,150.0,1706,9.5,70,usa
buick,estate wagon (sw),16.8,8,7.5,225.0,1400,10.0,70,usa
toyota,corona mark ii,9.8,4,1.9,95.0,1076,15.0,70,japan
plymouth,duster,10.7,6,3.2,95.0,1285,15.5,70,usa
amc,hornet,13.1,6,3.3,97.0,1258,15.5,70,usa
ford,maverick,11.2,6,3.3,85.0,1173,16.0,70,usa
datsun,pl510,8.7,4,1.6,88.0,966,14.5,70,japan
volkswagen,1131 deluxe sedan,9.0,4,1.6,46.0,832,20.5,70,europe
peugeot,504,9.4,4,1.8,87.0,1212,17.5,70,europe
audi,100 ls,9.8,4,1.8,90.0,1102,14.5,70,europe
saab,99e,9.4,4,1.7,95.0,1077,17.5,70,europe
bmw,2002,9.0,4,2.0,113.0,1013,12.5,70,europe
amc,gremlin,11.2,6,3.3,90.0,1201,15.0,70,usa
ford,f250,23.5,8,5.9,215.0,2093,14.0,70,usa
chevrolet,c20,23.5,8,5.0,200.0,1985,15.0,70,usa
dodge,d200,21.4,8,5.2,210.0,1988,13.5,70,usa
datsun,pl510,8.7,4,1.6,88.0,966,14.5,71,japan
chevrolet,vega 2300,8.4,4,2.3,90.0,1027,15.5,71,usa
toyota,corona,9.4,4,1.9,95.0,1011,14.0,71,japan
amc,gremlin,12.4,6,3.8,100.0,1195,13.0,71,usa
plymouth,satellite custom,14.7,6,3.7,105.0,1560,15.5,71,usa
chevrolet,chevelle malibu,13.8,6,4.1,100.0,1510,15.5,71,usa
ford,torino 500,12.4,6,4.1,88.0,1498,15.5,71,usa
amc,matador,13.1,6,3.8,100.0,1491,15.5,71,usa
chevrolet,impala,16.8,8,5.7,165.0,1909,12.0,71,usa
pontiac,catalina brougham,16.8,8,6.6,175.0,2025,11.5,71,usa
ford,galaxie 500,16.8,8,5.8,153.0,1884,13.5,71,usa
plymouth,fury iii,16.8,8,5.2,150.0,1858,13.0,71,usa
dodge,monaco (sw),19.6,8,6.3,180.0,2248,11.5,71,usa
ford,country squire (sw),18.1,8,6.6,170.0,2153,12.0,71,usa
pontiac,safari (sw),18.1,8,6.6,175.0,2331,12.0,71,usa
amc,hornet sportabout (sw),13.1,6,4.2,110.0,1344,13.5,71,usa
chevrolet,vega (sw),10.7,4,2.3,72.0,1092,19.0,71,usa
pontiac,firebird,12.4,6,4.1,100.0,1489,15.0,71,usa
ford,mustang,13.1,6,4.1,88.0,1424,14.5,71,usa
mercury,capri 2000,10.2,4,2.0,86.0,1007,14.0,71,usa
